"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.272979140E1,6.650219880E1,2.575455500E1,1.069777265E2,1.539503611E0,6.680317688E1,4.731143061E0,3.382428472E0
9.372978735E1,6.650220450E1,2.575458621E1,1.072329546E2,1.509473368E0,6.680317688E1,4.732163136E0,3.381001196E0
9.472978342E1,6.650221077E1,2.575461784E1,1.068372006E2,1.536101182E0,6.680317688E1,4.732877649E0,3.380000915E0
9.572977889E1,6.650222054E1,2.575464637E1,1.073989626E2,1.527772252E0,6.680317688E1,4.730256911E0,3.383667624E0
9.672977471E1,6.650222574E1,2.575467975E1,1.069885304E2,1.538079064E0,6.680317688E1,4.729106985E0,3.385274606E0
9.772977114E1,6.650223203E1,2.575470656E1,1.065756091E2,1.496024495E0,6.680317688E1,4.730397081E0,3.383471662E0
9.872976637E1,6.650223665E1,2.575473676E1,1.060660619E2,1.453679417E0,6.680317688E1,4.732007781E0,3.381218625E0
9.972976303E1,6.650224381E1,2.575477004E1,1.062522249E2,1.536053467E0,6.680317688E1,4.730862021E0,3.382821540E0
1.007297592E2,6.650225021E1,2.575480008E1,1.068092137E2,1.544239127E0,6.680317688E1,4.729066051E0,3.385331788E0
1.017297543E2,6.650225692E1,2.575483269E1,1.068046732E2,1.552881922E0,6.680317688E1,4.728119045E0,3.386654297E0
1.027297502E2,6.650226380E1,2.575486195E1,1.072149551E2,1.550116061E0,6.614939117E1,4.726638530E0,3.388720295E0
1.037297467E2,6.650227095E1,2.575489118E1,1.072345655E2,1.500095805E0,6.371459961E1,4.727056506E0,3.388137220E0
1.047297425E2,6.650227924E1,2.575492345E1,1.069712076E2,1.532710434E0,6.371459961E1,4.728275718E0,3.386435554E0
1.057297380E2,6.650228387E1,2.575496062E1,1.069407745E2,1.569598864E0,6.371459961E1,4.728380982E0,3.386288576E0
1.067297347E2,6.650228830E1,2.575499047E1,1.079794128E2,1.478696038E0,6.371459961E1,4.727136899E0,3.388025055E0
1.077297301E2,6.650229629E1,2.575502159E1,1.077805773E2,1.550258467E0,6.371459961E1,4.727040690E0,3.388159286E0
1.087297261E2,6.650230173E1,2.575505683E1,1.069912504E2,1.519278405E0,6.326325226E1,4.728225715E0,3.386505369E0
1.097297220E2,6.650230456E1,2.575509258E1,1.070682590E2,1.531172599E0,6.326325226E1,4.729483011E0,3.384749250E0
1.107297176E2,6.650231113E1,2.575512574E1,1.073656623E2,1.557839395E0,6.326325226E1,4.727557674E0,3.387437892E0
1.117297133E2,6.650231972E1,2.575515613E1,1.075579623E2,1.588454205E0,6.326325226E1,4.726321124E0,3.389162974E0
1.127297096E2,6.650232177E1,2.575518958E1,1.079012351E2,1.538269739E0,6.326325226E1,4.727515186E0,3.387497188E0
1.137297052E2,6.650232926E1,2.575521799E1,1.086717261E2,1.548618883E0,6.147723770E1,4.727735479E0,3.387189730E0
1.147297003E2,6.650233696E1,2.575524560E1,1.085940189E2,1.570836098E0,6.147723770E1,4.728201386E0,3.386539338E0
1.157296975E2,6.650234082E1,2.575527633E1,1.082568280E2,1.535903865E0,6.147723770E1,4.729133804E0,3.385237140E0
1.167296927E2,6.650234656E1,2.575531110E1,1.082319463E2,1.536546815E0,6.147723770E1,4.730368644E0,3.383511419E0
1.177296889E2,6.650235413E1,2.575534097E1,1.086614839E2,1.559767928E0,6.146458817E1,4.730801917E0,3.382905593E0
1.187296846E2,6.650236081E1,2.575537324E1,1.089550246E2,1.576670841E0,6.146458817E1,4.730211950E0,3.383730477E0
1.197296813E2,6.650236698E1,2.575540169E1,1.087444329E2,1.537136847E0,6.146458817E1,4.728795833E0,3.385709232E0
1.207296765E2,6.650237466E1,2.575543446E1,1.082886553E2,1.529040608E0,6.146458817E1,4.731080424E0,3.382516084E0
1.217296729E2,6.650237814E1,2.575546681E1,1.084251916E2,1.483678359E0,6.146458817E1,4.732833216E0,3.380063132E0
1.227296679E2,6.650238553E1,2.575549620E1,1.084280079E2,1.513892354E0,6.146458817E1,4.731562633E0,3.381841523E0
1.237296640E2,6.650239565E1,2.575552891E1,1.089032388E2,1.571158130E0,6.146458817E1,4.731174554E0,3.382384422E0
1.247296607E2,6.650240028E1,2.575555956E1,1.085293559E2,1.516168281E0,6.146458817E1,4.732005388E0,3.381221975E0
1.257296556E2,6.650240739E1,2.575559408E1,1.089189114E2,1.573564812E0,6.146458817E1,4.731632667E0,3.381743534E0
1.267296523E2,6.650241531E1,2.575562989E1,1.098689806E2,1.581681151E0,6.146458817E1,4.730238965E0,3.383692711E0
1.277296478E2,6.650242238E1,2.575566230E1,1.103933428E2,1.571174856E0,6.146458817E1,4.730237575E0,3.383694655E0
1.287296433E2,6.650243206E1,2.575569141E1,1.111278727E2,1.576316209E0,5.574495697E1,4.731885623E0,3.381389579E0
1.297296405E2,6.650244212E1,2.575571982E1,1.115446744E2,1.577233867E0,5.574495697E1,4.732344268E0,3.380747663E0
1.307296350E2,6.650244796E1,2.575575293E1,1.114283772E2,1.546952394E0,5.625408554E1,4.733313867E0,3.379390014E0
1.317296305E2,6.650245621E1,2.575578383E1,1.121555913E2,1.572318877E0,5.625408554E1,4.733212151E0,3.379532478E0
1.327300208E2,6.650246319E1,2.575581348E1,1.131575561E2,1.500580277E0,5.625408554E1,4.733257868E0,3.379468447E0
1.337300221E2,6.650247097E1,2.575584361E1,1.133890661E2,1.554446843E0,5.625408554E1,4.733613346E0,3.378970513E0
1.347300159E2,6.650248007E1,2.575587078E1,1.133787816E2,1.576409797E0,5.625408554E1,4.734125618E0,3.378252753E0
1.357300187E2,6.650249003E1,2.575589687E1,1.141082938E2,1.576333149E0,5.625408554E1,4.734290316E0,3.378021942E0
1.367300193E2,6.650250285E1,2.575591617E1,1.141932517E2,1.569300248E0,5.625408554E1,4.734085233E0,3.378309347E0
1.377300187E2,6.650251149E1,2.575594122E1,1.142538769E2,1.557976953E0,5.625408554E1,4.734435843E0,3.377817976E0
1.387300266E2,6.650251919E1,2.575597251E1,1.146252209E2,1.572787374E0,5.625408554E1,4.733918009E0,3.378543668E0
1.397300307E2,6.650252720E1,2.575600103E1,1.145472642E2,1.559119275E0,5.625408554E1,4.734941145E0,3.377109620E0
1.407300315E2,6.650253312E1,2.575603436E1,1.146935012E2,1.562510404E0,5.625408554E1,4.735749680E0,3.375975711E0
1.417300377E2,6.650254410E1,2.575606066E1,1.136901574E2,1.514892535E0,5.625408554E1,4.737184199E0,3.373962493E0
1.427300426E2,6.650254259E1,2.575610305E1,1.141366703E2,1.584225409E0,5.625408554E1,4.737207749E0,3.373929426E0
1.437300388E2,6.650254163E1,2.575613554E1,1.133058939E2,1.466863047E0,7.094232178E1,4.737674830E0,3.373273520E0
1.447300351E2,6.650254347E1,2.575616633E1,1.132096442E2,1.474383240E0,7.062939453E1,4.738030254E0,3.372774280E0
1.457300390E2,6.650255147E1,2.575620060E1,1.135087525E2,1.551666721E0,7.062939453E1,4.737077905E0,3.374111729E0
1.467300345E2,6.650255440E1,2.575623500E1,1.139932881E2,1.566151669E0,7.062939453E1,4.736365189E0,3.375112121E0
1.477300289E2,6.650255621E1,2.575627002E1,1.137474286E2,1.562909725E0,7.062939453E1,4.736451718E0,3.374990690E0
1.487300227E2,6.650255920E1,2.575630495E1,1.141453655E2,1.565027930E0,9.220007324E1,4.736184335E0,3.375365903E0
1.497300174E2,6.650255897E1,2.575634087E1,1.153922069E2,1.481878867E0,9.220007324E1,4.737217110E0,3.373916284E0
1.507300124E2,6.650256211E1,2.575637638E1,1.157481953E2,1.525079407E0,9.220007324E1,4.737477719E0,3.373550340E0
1.517300075E2,6.650256488E1,2.575641497E1,1.149358597E2,1.572973513E0,9.220007324E1,4.737232390E0,3.373894829E0
